ServCode;latitude;longitude;conceptKeyword;VarCode;VarName;datatype;valuetype,sample medium;Sitename;ValueCount;Organization
NWISDV; 41.33305556; -88.4669444; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MINIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MINIMUM; Field Observation; SurfaceWater; HANSON GRAVEL PIT AT CULVERT NEAR MORRIS, IL; 403; U.S. Geological Survey (USGS)
NWISDV; 39.63277778; -90.6077778; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MINIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MINIMUM; Field Observation; SurfaceWater; ILLINOIS RIVER AT FLORENCE, IL; 1575; U.S. Geological Survey (USGS)
NWISDV; 40.4628611; -88.8771667; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MAXIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MAXIMUM; Field Observation; SurfaceWater; KICKAPOO CR TRIB NR LONGFIELD RD NR BLOOMINGTON,IL; 320; U.S. Geological Survey (USGS)
NWISDV; 41.2997222; -88.6141667; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MAXIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MAXIMUM; Field Observation; SurfaceWater; ILLINOIS RIVER AT SENECA, IL; 1089; U.S. Geological Survey (USGS)
NWISDV; 39.465; -88.2302778; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MAXIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MAXIMUM; Field Observation; SurfaceWater; KICKAPOO CREEK AT 1320E ROAD NR CHARLESTON, IL; 932; U.S. Geological Survey (USGS)
NWISDV; 39.659075; -89.6589361; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MINIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MINIMUM; Field Observation; SurfaceWater; SUGAR CREEK NEAR CHATHAM, IL; 586; U.S. Geological Survey (USGS)
NWISDV; 40.10087009; -87.5972419; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:91049/DataType=MEAN; Nitrate plus nitrite, water, unfiltered, pounds of nitrogen per day; average; Field Observation; SurfaceWater; VERMILION RIVER NEAR DANVILLE, IL; 498; U.S. Geological Survey (USGS)
NWISDV; 41.5; -88.1069444; Colored dissolved organic matter; NWISDV:32289/DataType=MAXIMUM; Colored dissolved organic matter (CDOM), in situ, fluorescence excitation at 370, 470, 525, 570, 590, 610 nm, fluorescence emission at 700 nm, milligrams per liter; MAXIMUM; Field Observation; Unknown; DES PLAINES RIVER IN LOCK CHANNEL AT ROCKDALE, IL; 258; U.S. Geological Survey (USGS)
NWISDV; 19.65807505; -155.1194524; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:00631/DataType=MEAN; Nitrate plus nitrite, water, filtered, milligrams per liter as nitrogen; average; Field Observation; SurfaceWater; Waiakea Stream at Hoaka Road, HI; 731; U.S. Geological Survey (USGS)
NWISDV; 39.465; -88.2302778; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MEAN; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; average; Field Observation; SurfaceWater; KICKAPOO CREEK AT 1320E ROAD NR CHARLESTON, IL; 927; U.S. Geological Survey (USGS)
NWISDV; 41.5; -88.1069444; Colored dissolved organic matter; NWISDV:32289/DataType=MINIMUM; Colored dissolved organic matter (CDOM), in situ, fluorescence excitation at 370, 470, 525, 570, 590, 610 nm, fluorescence emission at 700 nm, milligrams per liter; MINIMUM; Field Observation; Unknown; DES PLAINES RIVER IN LOCK CHANNEL AT ROCKDALE, IL; 337; U.S. Geological Survey (USGS)
NWISDV; 40.4583333; -88.8775; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MAXIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MAXIMUM; Field Observation; SurfaceWater; KICKAPOO CREEK NEAR BLOOMINGTON, IL; 1249; U.S. Geological Survey (USGS)
NWISDV; 41.48892309; -90.1576186; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:99133/DataType=MAXIMUM; Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen; MAXIMUM; Field Observation; SurfaceWater; GREEN RIVER NEAR GENESEO, IL; 521; U.S. Geological Survey (USGS)
NWISDV; 19.65807505; -155.1194524; Nitrogen, nitrite (NO2) + nitrate (NO3); NWISDV:91049/DataType=MEAN; Nitrate plus nitrite, water, unfiltered, pounds of nitrogen per day; average; Field Observation; SurfaceWater; Waiakea Stream at Hoaka Road, HI; 731; U.S. Geological Survey (USGS)
